SAMPLENAME	index	index_type
H64K_10hm_2023117_B_PB__CD219_sampled_new12bp_58_S62_L002_R1_001.fastq	3	unique barcodes
H64K_10hm_2023117_CD16_PB__CD219_sampled_new12bp_61_S63_L002_R1_001.fastq	27	unique barcodes
H64K_10hm_2023117_CD56_PB__CD219_sampled_new12bp_62_S58_L002_R1_001.fastq	328	unique barcodes
H64K_10hm_2023117_DN_PB__CD219_sampled_new12bp_63_S59_L002_R1_001.fastq	526	unique barcodes
H64K_10hm_2023117_Gr_PB__CD219_sampled_new12bp_55_S52_L002_R1_001.fastq	1613	unique barcodes
H64K_10hm_2023117_NKG2A_PB__CD219_sampled_new12bp_60_S57_L002_R1_001.fastq	627	unique barcodes
H64K_10hm_2023117_PB_Gr_PB__CD219_sampled_new12bp_56_S54_L002_R1_001.fastq	1609	unique barcodes
H64K_10hm_2023117_T_PB__CD219_sampled_new12bp_57_S56_L002_R1_001.fastq	1118	unique barcodes
H64K_11m_2023124_B_PB_NA_CD220_sampled_new12bp_i546_S46_R1_001.fastq	1409	unique barcodes
H64K_11m_2023124_CD16p_PB_NA_CD220_sampled_new12bp_i549_S49_R1_001.fastq	768	unique barcodes
H64K_11m_2023124_CD56p_PB_NA_CD220_sampled_new12bp_i550_S50_R1_001.fastq	202	unique barcodes
H64K_11m_2023124_DN_PB_NA_CD220_sampled_new12bp_i551_S51_R1_001.fastq	146	unique barcodes
H64K_11m_2023124_Gr_PB_NA_CD220_sampled_new12bp_i558_S58_R1_001.fastq	1188	unique barcodes
H64K_11m_2023124_Mono_PB_NA_CD220_sampled_new12bp_i547_S47_R1_001.fastq	3048	unique barcodes
H64K_11m_2023124_T_PB_NA_CD220_sampled_new12bp_i545_S45_R1_001.fastq	426	unique barcodes
H64K_12m_2023223_B_PB_NA_CD220_sampled_old12bp_i521_S89_R1_001.fastq	2286	unique barcodes
H64K_12m_2023223_CD16p_PB_NA_CD220_sampled_old12bp_i524_S91_R1_001.fastq	866	unique barcodes
H64K_12m_2023223_CD56p_PB_NA_CD220_sampled_old12bp_i525_S92_R1_001.fastq	23	unique barcodes
H64K_12m_2023223_DN_PB_NA_CD220_sampled_old12bp_i526_S93_R1_001.fastq	251	unique barcodes
H64K_12m_2023223_Mono_PB_NA_CD220_sampled_old12bp_i522_S90_R1_001.fastq	1377	unique barcodes
H64K_12m_2023223_NKG2A_PB_NA_CD220_sampled_old12bp_i528_S94_R1_001.fastq	198	unique barcodes
H64K_12m_2023223_T_1_PB_NA_CD220_sampled_old12bp_i519_S87_R1_001.fastq	2574	unique barcodes
H64K_12m_2023223_T_2_PB_NA_CD220_sampled_old12bp_i520_S88_R1_001.fastq	1865	unique barcodes
H64K_12m_202339_GRANS_PB_NA_CD221_sampled_old12bp_32_S96_R1_001.fastq	1134	unique barcodes
H64K_12m_202339_LBM_GRAN_PB_NA_CD221_sampled_old12bp_4_S73_R1_001.fastq	1240	unique barcodes
H64K_12m_202339_RBM_GRAN_PB_NA_CD221_sampled_old12bp_5_S74_R1_001.fastq	1549	unique barcodes
H64K_13hm_2023421_GRAN_PB_NA_CD221_sampled_old12bp_15_S84_R1_001.fastq	1390	unique barcodes
H64K_13m_202346_B_PB_NA_CD221_sampled_old12bp_8_S77_R1_001.fastq	1902	unique barcodes
H64K_13m_202346_CD16_PB_NA_CD221_sampled_old12bp_11_S80_R1_001.fastq	268	unique barcodes
H64K_13m_202346_CD56_PB_NA_CD221_sampled_old12bp_13_S82_R1_001.fastq	79	unique barcodes
H64K_13m_202346_DN_PB_NA_CD221_sampled_old12bp_14_S83_R1_001.fastq	147	unique barcodes
H64K_13m_202346_GRAN_PB_NA_CD221_sampled_old12bp_9_S78_R1_001.fastq	1328	unique barcodes
H64K_13m_202346_MONO_PB_NA_CD221_sampled_old12bp_10_S79_R1_001.fastq	374	unique barcodes
H64K_13m_202346_NKG2A_PB_NA_CD221_sampled_old12bp_12_S81_R1_001.fastq	184	unique barcodes
H64K_13m_202346_T1_PB_NA_CD221_sampled_old12bp_6_S75_R1_001.fastq	1660	unique barcodes
H64K_13m_202346_T2_PB_NA_CD221_sampled_old12bp_7_S76_R1_001.fastq	1828	unique barcodes
H64K_14m_202354_B_BAL_NA_CD221_sampled_new12bp_25_S25_R1_001.fastq	37	unique barcodes
H64K_14m_202354_Mac_Jej_NA_CD221_sampled_new12bp_43_S42_R1_001.fastq	18	unique barcodes
H64K_14m_202355_B_1_PB_NA_CD221_sampled_old12bp_35_S98_R1_001.fastq	1994	unique barcodes
H64K_14m_202355_CD56_PB_NA_CD221_sampled_new12bp_68_S67_R1_001.fastq	610	unique barcodes
H64K_14m_202355_DN_PB_NA_CD221_sampled_new12bp_69_S68_R1_001.fastq	716	unique barcodes
H64K_14m_202355_NKG2A_PB_NA_CD221_sampled_new12bp_67_S66_R1_001.fastq	1087	unique barcodes
H64K_14m_202355_T_2_PB_NA_CD221_sampled_old12bp_33_S97_R1_001.fastq	274	unique barcodes
H64K_14m_202356_B_Liver_NA_CD221_sampled_new12bp_29_S29_R1_001.fastq	106	unique barcodes
H64K_14m_202356_B_Spleen_NA_CD221_sampled_new12bp_17_S17_R1_001.fastq	944	unique barcodes
H64K_14m_202356_Mac_Liver_NA_CD221_sampled_new12bp_31_S30_R1_001.fastq	9	unique barcodes
H64K_14m_202356_NK_Liver_NA_CD221_sampled_New12bp_30_S1_R1_001.fastq	43	unique barcodes
H64K_14m_202356_NK_Spleen_NA_CD221_sampled_new12bp_18_S18_R1_001.fastq	7	unique barcodes
H64K_1m_2022324_B_PB__CD213_sampled_NEW12bp_63_S30_L002_R1_001.fastq	3920	unique barcodes
H64K_1m_2022324_CD16p_PB__CD213_sampled_NEW12bp_62_S37_L002_R1_001.fastq	2642	unique barcodes
H64K_1m_2022324_CD56p_PB__CD213_sampled_NEW12bp_61_S55_L002_R1_001.fastq	15	unique barcodes
H64K_1m_2022324_Gr_PB__CD213_sampled_8bp_1_S72_L002_R1_001.fastq	9898	unique barcodes
H64K_1m_2022324_Mono_PB__CD213_sampled_NEW12bp_65_S32_L002_R1_001.fastq	14880	unique barcodes
H64K_1m_2022324_NKG2Ap_PB__CD213_sampled_NEW12bp_59_S53_L002_R1_001.fastq	746	unique barcodes
