SAMPLENAME	index	index_type
HAWX_10hm_202073_CD16_PB__CD223_sampled_CD223_3_S3_L001_R1_001.fastq	1373	unique barcodes
HAWX_10hm_2023630_B_PB__CD222_sampled_AG_8963_36_S36_L001_R1_001.fastq	2087	unique barcodes
HAWX_10hm_2023630_Gr_PB__CD223_sampled_CD223_25_S25_L001_R1_001.fastq	3420	unique barcodes
HAWX_10hm_2023630_T_PB__CD222_sampled_AG_8963_35_S35_L001_R1_001.fastq	2149	unique barcodes
HAWX_10hm_202373_CD56_PB__CD223_sampled_CD223_4_S4_L001_R1_001.fastq	1871	unique barcodes
HAWX_10hm_202373_DN_PB__CD223_sampled_CD223_5_S5_L001_R1_001.fastq	1442	unique barcodes
HAWX_10hm_202373_Mono_PB__CD223_sampled_CD223_1_S1_L001_R1_001.fastq	3321	unique barcodes
HAWX_10hm_202373_NKG2A_PB__CD223_sampled_CD223_2_S2_L001_R1_001.fastq	911	unique barcodes
HAWX_10m_202366_B_Liver_NA_CD221_sampled_new12bp_37_S36_R1_001.fastq	2123	unique barcodes
HAWX_10m_202366_Mac_Liver_NA_CD221_sampled_new12bp_39_S38_R1_001.fastq	1629	unique barcodes
HAWX_10m_202367_B_PB_NA_CD221_sampled_old8bp_5_S108_R1_001.fastq	1114	unique barcodes
HAWX_10m_202367_CD16_PB_NA_CD221_sampled_old8bp_12_S113_R1_001.fastq	1115	unique barcodes
HAWX_10m_202367_CD56_PB_NA_CD221_sampled_old8bp_14_S114_R1_001.fastq	25	unique barcodes
HAWX_10m_202367_DN_PB_NA_CD221_sampled_old8bp_15_S115_R1_001.fastq	565	unique barcodes
HAWX_10m_202367_GRAN_PB_NA_CD221_sampled_old8bp_6_S109_R1_001.fastq	2821	unique barcodes
HAWX_10m_202367_MONO_PB_NA_CD221_sampled_old8bp_10_S111_R1_001.fastq	3234	unique barcodes
HAWX_10m_202367_NKG2A_PB_NA_CD221_sampled_old8bp_11_S112_R1_001.fastq	1143	unique barcodes
HAWX_10m_202367_T_PB_NA_CD221_sampled_old8bp_4_S107_R1_001.fastq	1706	unique barcodes
HAWX_11hm_2023726_BM1_Gr_BM__CD223_sampled_CD223_21_S21_L001_R1_001.fastq	3204	unique barcodes
HAWX_11hm_2023726_BM1_CD34p_BM__CD222_sampled_AG_8963_37_S37_L001_R1_001.fastq	2797	unique barcodes
HAWX_11hm_2023726_BM2_Gr_BM__CD223_sampled_CD223_22_S22_L001_R1_001.fastq	3119	unique barcodes
HAWX_11hm_2023726_BM2_CD34p_BM__CD222_sampled_AG_8963_38_S38_L001_R1_001.fastq	2844	unique barcodes
HAWX_11hm_2023726_BM3_Gr_BM__CD223_sampled_CD223_23_S23_L001_R1_001.fastq	2452	unique barcodes
HAWX_11hm_2023726_BM4_Gr_BM__CD223_sampled_CD223_24_S24_L001_R1_001.fastq	2986	unique barcodes
HAWX_11hm_2023726_Gr_PB__CD223_sampled_CD223_26_S26_L001_R1_001.fastq	3287	unique barcodes
HAWX_12hm_2023818_B_PB__CD222_sampled_AG_8963_79_S79_L001_R1_001.fastq	1852	unique barcodes
HAWX_12hm_2023818_CD16_PB__CD222_sampled_AG_8963_75_S75_L001_R1_001.fastq	1593	unique barcodes
HAWX_12hm_2023818_CD56_PB__CD222_sampled_AG_8963_74_S74_L001_R1_001.fastq	2089	unique barcodes
HAWX_12hm_2023818_DN_PB__CD222_sampled_AG_8963_77_S77_L001_R1_001.fastq	3247	unique barcodes
HAWX_12hm_2023818_Gr_PB__CD223_sampled_CD223_27_S27_L001_R1_001.fastq	3478	unique barcodes
HAWX_12hm_2023818_Mono_PB__CD222_sampled_AG_8963_73_S73_L001_R1_001.fastq	3152	unique barcodes
HAWX_12hm_2023818_NKG2A_PB__CD222_sampled_AG_8963_76_S76_L001_R1_001.fastq	7137	unique barcodes
HAWX_12hm_2023818_T_PB__CD222_sampled_AG_8963_78_S78_L001_R1_001.fastq	2297	unique barcodes
HAWX_12m_2023731_B_PB__CD222_sampled_AG_8963_34_S34_L001_R1_001.fastq	2261	unique barcodes
HAWX_12m_2023731_CD16_PB__CD223_sampled_CD223_8_S8_L001_R1_001.fastq	414	unique barcodes
HAWX_12m_2023731_CD56_PB__CD223_sampled_CD223_9_S9_L001_R1_001.fastq	897	unique barcodes
HAWX_12m_2023731_DN_PB__CD223_sampled_CD223_10_S10_L001_R1_001.fastq	235	unique barcodes
HAWX_12m_2023731_Mono_PB__CD223_sampled_CD223_6_S6_L001_R1_001.fastq	3238	unique barcodes
HAWX_12m_2023731_NKG2A_PB__CD223_sampled_CD223_7_S7_L001_R1_001.fastq	728	unique barcodes
HAWX_12m_2023731_T_PB__CD222_sampled_AG_8963_33_S33_L001_R1_001.fastq	3251	unique barcodes
HAWX_1m_202298_B_PB_NA_CD218_sampled_DA_8140_5_S5_L002_R1_001.fastq	6624	unique barcodes
HAWX_1m_202298_CD16p_PB_NA_CD218_sampled_DA_8140_8_S8_L002_R1_001.fastq	5081	unique barcodes
HAWX_1m_202298_CD56p_PB_NA_CD218_sampled_DA_8140_9_S9_L002_R1_001.fastq	924	unique barcodes
